#
# Data product developed by Dr. E. Thiemann from the
# Laboratory for Atmospheric and Space Physics, Boulder, Colorado
# in the frame of the PROBA2 guest investigator program.
#
# Please address your questions to E. Thiemann (thiemann@lasp.colorado.edu) and
# to the LYRA Principal Investigator M. Dominique (marie.dominique@oma.be)
#
# PROBA2 data products are open to all.
# Users should however refer to the following paper: http://arxiv.org/abs/1708.08833
# and acknowledge the instrument according to the rules described
# at http://proba2.oma.be/data/termsOfUse in their papers and presentations
#
# Website reference http://proba2.oma.be/lyra/data/EarthAtmosphere/
#
# Description:
# Summed neutral N2 and O number density profiles, spanning altitudes between 150 and 400 km
# retrieved from LYRA data acquired during occultations by the unit 3 (backup unit) zirconium
# channel (bandpass: 1-2 nm + 6-20 nm).
#
# Radial distance is the distance from the center of Earth expressed in km to which the density corresponds.
# Density O-N2 provides the summed number density of neutral O and N2 in units of radial distance and cm^-3.
# The systematic error is a signed value (asymmetric) in fractional units and is primarily from the error made by
# assuming that the absorption cross-sections of O and N2 are equal; a secondary source of systematic error is 
# from using a single-scale height atmosphere in the reference atmosphere used by the retrieval algorithm.
# The random error is an unsigned value (to be applied symmetrically to the measurement) in fractional
# units and gathers the uncertainties from solar spectra, solar variability and measurement noise.
# Both uncertainties are described in http://arxiv.org/abs/1708.08833.
# The Longitude and Latitude (in degrees) columns refer to the tangential point along the
# line-of-sight, where most of the absorption occurs.
#
# Scale height =        39.041547 km
# Date (UTC) = 2010-11-25T09:25:34.796
# Date (julian) = 2455525.89276384
#
 Radial distance	   Density O-N2	        Systematic error	    Random error	       Longitude	       Latitude
       6501.0603	   1.6126304e+11	     0.051477223	     0.032602948	      -22.939463	       54.611981
       6503.0571	   1.3398776e+11	     0.059352902	     0.033205065	      -23.080449	       54.501639
       6505.0538	   1.1482167e+11	     0.067482550	     0.033807183	      -23.197977	       54.407617
       6507.0506	   1.0046369e+11	     0.075960155	     0.034409300	      -23.315506	       54.313596
       6509.0474	   8.8740079e+10	     0.084809246	     0.035011417	      -23.442041	       54.209967
       6511.0441	   7.7828623e+10	     0.093903308	     0.035613535	      -23.576361	       54.098033
       6513.0409	   6.8302752e+10	      0.10333375	     0.036215652	      -23.710681	       53.986099
       6515.0376	   6.0102674e+10	      0.11312248	     0.036817769	      -23.845002	       53.874166
       6517.0344	   5.3180336e+10	      0.12333659	     0.037419887	      -23.978156	       53.763203
       6519.0312	   4.7657622e+10	      0.13411807	     0.038022004	      -24.095685	       53.665263
       6521.0279	   4.3144817e+10	      0.14543716	     0.038624121	      -24.213214	       53.567322
       6523.0247	   3.9291246e+10	      0.15436349	     0.039185228	      -24.334793	       53.462150
       6525.0214	   3.5548117e+10	      0.16136468	     0.039779769	      -24.460158	       53.350216
       6527.0182	   3.2127448e+10	      0.16660759	     0.040729677	      -24.582193	       53.242247
       6529.0150	   2.9285468e+10	      0.17040245	     0.042259599	      -24.695804	       53.144307
       6531.0117	   2.6911266e+10	      0.17419510	     0.045245722	      -24.809415	       53.046367
       6533.0085	   2.4673751e+10	      0.17838969	     0.047523186	      -24.931617	       52.938200
       6535.0052	   2.2396990e+10	      0.17995370	     0.048222029	      -25.056983	       52.826266
       6537.0020	   2.0281460e+10	      0.17969202	     0.048686163	      -25.174554	       52.719343
       6538.9987	   1.8575449e+10	      0.17839472	     0.049643017	      -25.284247	       52.617485
       6540.9955	   1.7172535e+10	      0.17676821	     0.051324404	      -25.393939	       52.515626
       6542.9923	   1.5860699e+10	      0.17487008	     0.051378956	      -25.514210	       52.404249
       6544.9890	   1.4551627e+10	      0.17325795	     0.052446661	      -25.635098	       52.292315
       6546.9858	   1.3369169e+10	      0.17110652	     0.053275664	      -25.745237	       52.190335
       6548.9825	   1.2441930e+10	      0.16860179	     0.053961066	      -25.851012	       52.092395
       6550.9793	   1.1661010e+10	      0.16680608	     0.055230567	      -25.959186	       51.992234
       6552.9761	   1.0852349e+10	      0.16543873	     0.055341094	      -26.080075	       51.880299
       6554.9728	   1.0018134e+10	      0.16355602	     0.054852794	      -26.200963	       51.768365
       6556.9696	   9.2495564e+09	      0.16118740	     0.053870580	      -26.304243	       51.665755
       6558.9663	   8.6294692e+09	      0.15819319	     0.052415870	      -26.406101	       51.563898
       6560.9631	   8.0924997e+09	      0.15515296	     0.051405958	      -26.513382	       51.458286
       6562.9599	   7.5240027e+09	      0.15259835	     0.049966571	      -26.629794	       51.346352
       6564.9566	   6.9505554e+09	      0.14996051	     0.048338062	      -26.744179	       51.236365
       6566.9534	   6.4328309e+09	      0.14725360	     0.046643567	      -26.846037	       51.138425
       6568.9501	   6.0265987e+09	      0.14433678	     0.044898269	      -26.947895	       51.040485
       6570.9469	   5.6456035e+09	      0.14195235	     0.044525277	      -27.055663	       50.931710
       6572.9436	   5.2468992e+09	      0.13935493	     0.043689755	      -27.167597	       50.815300
       6574.9404	   4.8551871e+09	      0.13631957	     0.042403332	      -27.274594	       50.705407
       6576.9372	   4.5151376e+09	      0.13276436	     0.040292700	      -27.372549	       50.607452
       6578.9339	   4.2431545e+09	      0.12843927	     0.037174844	      -27.470504	       50.509497
       6580.9307	   3.9679382e+09	      0.12491710	     0.035660671	      -27.576055	       50.396775
       6582.9274	   3.6904148e+09	      0.12238524	     0.035041412	      -27.683493	       50.280382
       6584.9242	   3.4207640e+09	      0.12016947	     0.034012066	      -27.785553	       50.174446
       6586.9210	   3.1972969e+09	      0.11822545	     0.033159391	      -27.883508	       50.076492
       6588.9177	   3.0149181e+09	      0.11629372	     0.033073457	      -27.981607	       49.978257
       6590.9145	   2.8195756e+09	      0.11398740	     0.029361002	      -28.089061	       49.861851
       6592.9112	   2.6221552e+09	      0.11209018	     0.027188441	      -28.196517	       49.745440
       6594.9080	   2.4343101e+09	      0.10990683	     0.025674079	      -28.290414	       49.643464
       6596.9048	   2.2746442e+09	      0.10739878	     0.025723160	      -28.380520	       49.545524
       6598.9015	   2.1525153e+09	      0.10540061	     0.024976753	      -28.471521	       49.446687
       6600.8983	   2.0490770e+09	      0.10509993	     0.026836548	      -28.565544	       49.344828
       6602.8950	   1.9489238e+09	      0.10391534	     0.026752853	      -28.659567	       49.242969
       6604.8918	   1.8475022e+09	      0.10281298	     0.026600789	      -28.759647	       49.134297
       6606.8885	   1.7389482e+09	      0.10150143	     0.025907277	      -28.862625	       49.022363
       6608.8853	   1.6332388e+09	     0.098453935	     0.023708964	      -28.958168	       48.914892
       6610.8821	   1.5432121e+09	     0.095393982	     0.024845769	      -29.044355	       48.813034
       6612.8788	   1.4635910e+09	     0.093978674	     0.023664131	      -29.130542	       48.711177
       6614.8756	   1.3846566e+09	     0.092522275	     0.023337252	      -29.231680	       48.600349
       6616.8723	   1.2998744e+09	     0.090876190	     0.023419213	      -29.334659	       48.488415
       6618.8691	   1.2165505e+09	     0.089937573	     0.024427068	      -29.426609	       48.383099
       6620.8659	   1.1423015e+09	     0.088911807	     0.025046219	      -29.512796	       48.281240
       6622.8626	   1.0774688e+09	     0.087226158	     0.024528393	      -29.598983	       48.179382
       6624.8594	   1.0282606e+09	     0.085414935	     0.025322328	      -29.685171	       48.077525
       6626.8561	   9.8071715e+08	     0.083294851	     0.025500111	      -29.771358	       47.975668
       6628.8529	   9.3168907e+08	     0.082241996	     0.026049378	      -29.861869	       47.868252
       6630.8497	   8.8031502e+08	     0.080956466	     0.025930396	      -29.955893	       47.756318
       6632.8464	   8.2268698e+08	     0.080134053	     0.026133836	      -30.047424	       47.647590
       6634.8432	   7.7511763e+08	     0.079127969	     0.026388347	      -30.133611	       47.545731
       6636.8399	   7.3470881e+08	     0.077977101	     0.026223575	      -30.219798	       47.443873
       6638.8367	   6.9705911e+08	     0.077217557	     0.025635190	      -30.311986	       47.334300
       6640.8334	   6.5896243e+08	     0.078013891	     0.025168679	      -30.406012	       47.222366
       6642.8302	   6.2169129e+08	     0.077942600	     0.025185670	      -30.493781	       47.115794
       6644.8270	   5.8913220e+08	     0.077167874	     0.025432983	      -30.576050	       47.013937
       6646.8237	   5.6074389e+08	     0.076183465	     0.026346532	      -30.658320	       46.912080
       6648.8205	   5.3485781e+08	     0.075151272	     0.027513516	      -30.747718	       46.795967
       6650.8172	   5.0472122e+08	     0.074894775	     0.026442326	      -30.837266	       46.679557
       6652.8140	   4.7629311e+08	     0.074613508	     0.027474485	      -30.921383	       46.574004
       6654.8108	   4.5075139e+08	     0.073608500	     0.027690836	      -31.003652	       46.472145
       6656.8075	   4.2713932e+08	     0.071818991	     0.028732169	      -31.085163	       46.371045
       6658.8043	   4.0990233e+08	     0.070308257	     0.031487475	      -31.163516	       46.273105
       6660.8010	   3.9419926e+08	     0.068975920	     0.032354098	      -31.241868	       46.175165
       6662.7978	   3.8040570e+08	     0.067684769	     0.032596663	      -31.327395	       46.065386
       6664.7946	   3.6170239e+08	     0.066810853	     0.029298862	      -31.416943	       45.948975
       6666.7913	   3.3921010e+08	     0.066391522	     0.027062792	      -31.500336	       45.838488
       6668.7881	   3.2222764e+08	     0.065089784	     0.028168158	      -31.574782	       45.736614
       6670.7848	   3.0696251e+08	     0.064922103	     0.026965035	      -31.649227	       45.634740
       6672.7816	   2.9170745e+08	     0.064491274	     0.027332620	      -31.736590	       45.524262
       6674.7783	   2.7306144e+08	     0.063151142	     0.029611376	      -31.826137	       45.412328
