#
# Data product developed by Dr. E. Thiemann from the
# Laboratory for Atmospheric and Space Physics, Boulder, Colorado
# in the frame of the PROBA2 guest investigator program.
#
# Please address your questions to E. Thiemann (thiemann@lasp.colorado.edu) and
# to the LYRA Principal Investigator M. Dominique (marie.dominique@oma.be)
#
# PROBA2 data products are open to all.
# Users should however refer to the following paper: http://arxiv.org/abs/1708.08833
# and acknowledge the instrument according to the rules described
# at http://proba2.oma.be/data/termsOfUse in their papers and presentations
#
# Website reference http://proba2.oma.be/lyra/data/EarthAtmosphere/
#
# Description:
# Summed neutral N2 and O number density profiles, spanning altitudes between 150 and 400 km
# retrieved from LYRA data acquired during occultations by the unit 3 (backup unit) zirconium
# channel (bandpass: 1-2 nm + 6-20 nm).
#
# Radial distance is the distance from the center of Earth expressed in km to which the density corresponds.
# Density O-N2 provides the summed number density of neutral O and N2 in units of radial distance and cm^-3.
# The systematic error is a signed value (asymmetric) in fractional units and is primarily from the error made by
# assuming that the absorption cross-sections of O and N2 are equal; a secondary source of systematic error is 
# from using a single-scale height atmosphere in the reference atmosphere used by the retrieval algorithm.
# The random error is an unsigned value (to be applied symmetrically to the measurement) in fractional
# units and gathers the uncertainties from solar spectra, solar variability and measurement noise.
# Both uncertainties are described in http://arxiv.org/abs/1708.08833.
# The Longitude and Latitude (in degrees) columns refer to the tangential point along the
# line-of-sight, where most of the absorption occurs.
#
# Scale height =        45.440245 km
# Date (UTC) = 2012-01-09T09:29:51.461
# Date (julian) = 2455935.89573451
#
# Radial distance	Density O-N2	Systematic error	Random error	Longitude	Latitude
       6495.4150	   1.8130388e+11	     0.033514267	     0.030900602	      -26.277462	       46.116635
       6497.6187	   1.5740672e+11	     0.040931893	     0.031565140	      -26.375402	       46.000889
       6499.8225	   1.3658281e+11	     0.048250853	     0.032229678	      -26.470525	       45.888472
       6502.0262	   1.2021125e+11	     0.055590012	     0.032894215	      -26.565654	       45.776047
       6504.2300	   1.0600992e+11	     0.063066704	     0.033558753	      -26.660790	       45.663612
       6506.4338	   9.3613483e+10	     0.070788577	     0.034223291	      -26.755924	       45.551181
       6508.6375	   8.2820204e+10	     0.078855039	     0.034887829	      -26.851046	       45.438764
       6510.8413	   7.3523476e+10	     0.087423576	     0.035552366	      -26.946168	       45.326347
       6513.0450	   6.5789391e+10	     0.096691716	     0.036216904	      -27.037595	       45.210235
       6515.2488	   5.9145795e+10	      0.10670405	     0.036881442	      -27.128394	       45.093494
       6517.4526	   5.3469195e+10	      0.11758129	     0.037545980	      -27.219192	       44.979095
       6519.6563	   4.8396455e+10	      0.12922662	     0.038210517	      -27.309991	       44.866677
       6521.8601	   4.3855664e+10	      0.14165419	     0.038875055	      -27.400789	       44.754259
       6524.0638	   3.9943203e+10	      0.14893414	     0.039449635	      -27.491588	       44.641843
       6526.2676	   3.6295551e+10	      0.15539208	     0.039948621	      -27.582386	       44.529427
       6528.4713	   3.3103634e+10	      0.16209318	     0.041816404	      -27.673185	       44.417009
       6530.6751	   3.0199873e+10	      0.16756672	     0.044773833	      -27.763983	       44.304590
       6532.8789	   2.7600585e+10	      0.17292536	     0.047418392	      -27.852173	       44.192173
       6535.0826	   2.5317950e+10	      0.17558025	     0.048188454	      -27.938648	       44.079757
       6537.2864	   2.3135312e+10	      0.17612617	     0.048820244	      -28.028712	       43.962674
