#
# Data product developed by Dr. E. Thiemann from the
# Laboratory for Atmospheric and Space Physics, Boulder, Colorado
# in the frame of the PROBA2 guest investigator program.
#
# Please address your questions to E. Thiemann (thiemann@lasp.colorado.edu) and
# to the LYRA Principal Investigator M. Dominique (marie.dominique@oma.be)
#
# PROBA2 data products are open to all.
# Users should however refer to the following paper: http://arxiv.org/abs/1708.08833
# and acknowledge the instrument according to the rules described
# at http://proba2.oma.be/data/termsOfUse in their papers and presentations
#
# Website reference http://proba2.oma.be/lyra/data/EarthAtmosphere/
#
# Description:
# Summed neutral N2 and O number density profiles, spanning altitudes between 150 and 400 km
# retrieved from LYRA data acquired during occultations by the unit 3 (backup unit) zirconium
# channel (bandpass: 1-2 nm + 6-20 nm).
#
# Radial distance is the distance from the center of Earth expressed in km to which the density corresponds.
# Density O-N2 provides the summed number density of neutral O and N2 in units of radial distance and cm^-3.
# The systematic error is a signed value (asymmetric) in fractional units and is primarily from the error made by
# assuming that the absorption cross-sections of O and N2 are equal; a secondary source of systematic error is 
# from using a single-scale height atmosphere in the reference atmosphere used by the retrieval algorithm.
# The random error is an unsigned value (to be applied symmetrically to the measurement) in fractional
# units and gathers the uncertainties from solar spectra, solar variability and measurement noise.
# Both uncertainties are described in http://arxiv.org/abs/1708.08833.
# The Longitude and Latitude (in degrees) columns refer to the tangential point along the
# line-of-sight, where most of the absorption occurs.
#
# Scale height =        61.530116 km
# Date (UTC) = 2013-12-08T10:30:59.359
# Date (julian) = 2456634.93818703
#
# Radial distance	Density O-N2	Systematic error	Random error	Longitude	Latitude
       6493.8639	   6.1935055e+10	     0.029502316	     0.030432885	       97.375421	       29.129163
       6496.2229	   5.6039423e+10	     0.036637845	     0.031144227	       97.433016	       29.013973
       6498.5818	   5.0932722e+10	     0.043544968	     0.031855568	       97.487002	       28.902384
       6500.9408	   4.6679719e+10	     0.050399511	     0.032566910	       97.540489	       28.791293
       6503.2998	   4.2951533e+10	     0.057366202	     0.033278251	       97.593973	       28.678364
       6505.6588	   3.9740569e+10	     0.064657334	     0.033989593	       97.647453	       28.563175
       6508.0177	   3.6872737e+10	     0.072481594	     0.034700934	       97.701131	       28.447814
       6510.3767	   3.3918053e+10	     0.080830988	     0.035412276	       97.765926	       28.322850
       6512.7357	   3.1105618e+10	     0.089893554	     0.036123617	       97.830722	       28.197887
       6515.0946	   2.8437127e+10	     0.099750746	     0.036834959	       97.885824	       28.081298
       6517.4536	   2.6141606e+10	      0.11067945	     0.037546300	       97.939307	       27.966107
       6519.8126	   2.4229328e+10	      0.12284542	     0.038257642	       97.992792	       27.852663
       6522.1716	   2.2476667e+10	      0.13564806	     0.038962175	       98.046279	       27.741572
       6524.5305	   2.0875668e+10	      0.14366116	     0.039615433	       98.099762	       27.630476
       6526.8895	   1.9389818e+10	      0.15134320	     0.040600622	       98.149153	       27.515309
       6529.2485	   1.7996956e+10	      0.15786846	     0.042631576	       98.198521	       27.400119
       6531.6074	   1.6711479e+10	      0.16469616	     0.046112817	       98.250212	       27.287252
       6533.9664	   1.5552345e+10	      0.16986502	     0.047930283	       98.303692	       27.176176
       6536.3254	   1.4463619e+10	      0.17229987	     0.048081630	       98.358070	       27.063237
       6538.6844	   1.3333922e+10	      0.17384546	     0.049489926	       98.418240	       26.938273
       6541.0433	   1.2227629e+10	      0.17272664	     0.051312478	       98.478409	       26.813310
       6543.4023	   1.1210857e+10	      0.17047017	     0.051487478	       98.532067	       26.697861
       6545.7613	   1.0343212e+10	      0.16805132	     0.052462387	       98.585547	       26.582672
       6548.1202	   9.6301096e+09	      0.16652297	     0.053703554	       98.636799	       26.469707
       6550.4792	   8.9868645e+09	      0.16484457	     0.055105350	       98.686174	       26.358615
       6552.8382	   8.4119396e+09	      0.16332284	     0.055375797	       98.735547	       26.247526
       6555.1972	   7.8998189e+09	      0.16152891	     0.054687709	       98.784913	       26.136449
       6557.5561	   7.4148321e+09	      0.15950916	     0.053517527	       98.834278	       26.025372
       6559.9151	   6.9933958e+09	      0.15734062	     0.052283892	       98.886450	       25.914296
       6562.2741	   6.6227430e+09	      0.15476761	     0.050619119	       98.939933	       25.803219
       6564.6330	   6.2720744e+09	      0.15241423	     0.048484705	       98.993932	       25.688660
       6566.9920	   5.9019524e+09	      0.15071873	     0.046621708	       99.049468	       25.563698
       6569.3510	   5.5152828e+09	      0.14915658	     0.044875268	       99.104450	       25.439615
       6571.7100	   5.1598889e+09	      0.14800907	     0.044309374	       99.153824	       25.324409
       6574.0689	   4.8573896e+09	      0.14591205	     0.042821902	       99.203199	       25.209204
       6576.4279	   4.6056391e+09	      0.14391427	     0.040878879	       99.252568	       25.096722
       6578.7869	   4.3721569e+09	      0.14116109	     0.037407063	       99.301933	       24.985645
       6581.1458	   4.1619106e+09	      0.13856522	     0.035552448	       99.351299	       24.874568
       6583.5048	   3.9727077e+09	      0.13624778	     0.034766156	       99.400668	       24.763492
       6585.8638	   3.7944729e+09	      0.13344418	     0.033280202	       99.450036	       24.652416
       6588.2227	   3.5997757e+09	      0.13137875	     0.033305543	       99.504331	       24.530255
       6590.5817	   3.3954766e+09	      0.12879042	     0.029979976	       99.559871	       24.405293
       6592.9407	   3.1970010e+09	      0.12670353	     0.027159827	       99.611475	       24.289183
       6595.2997	   3.0201596e+09	      0.12456835	     0.025654647	       99.660840	       24.178107
       6597.6586	   2.8691121e+09	      0.12259141	     0.025514887	       99.709356	       24.067028
       6600.0176	   2.7302753e+09	      0.12209976	     0.025026068	       99.754616	       23.955936
       6602.3766	   2.5965291e+09	      0.12181557	     0.027195278	       99.799876	       23.844845
       6604.7355	   2.4734015e+09	      0.12109014	     0.026508020	       99.848325	       23.733765
       6607.0945	   2.3676486e+09	      0.12016115	     0.025520356	       99.897693	       23.622688
       6609.4535	   2.2626887e+09	      0.11719094	     0.023840639	       99.949195	       23.506813
       6611.8125	   2.1510653e+09	      0.11475750	     0.024440346	       100.00474	       23.381850
       6614.1714	   2.0381896e+09	      0.11398803	     0.023822382	       100.05837	       23.259456
       6616.5304	   1.9291841e+09	      0.11272111	     0.023365546	       100.10363	       23.148380
       6618.8894	   1.8367469e+09	      0.11214336	     0.024442379	       100.14888	       23.037303
       6621.2483	   1.7564363e+09	      0.11131413	     0.025007131	       100.19414	       22.929319
       6623.6073	   1.6821597e+09	      0.10949183	     0.024716827	       100.23939	       22.822342
       6625.9663	   1.6171709e+09	      0.10806554	     0.026550676	       100.28598	       22.714038
       6628.3253	   1.5601865e+09	      0.10600722	     0.025835153	       100.33535	       22.602961
       6630.6842	   1.4987232e+09	      0.10409334	     0.025929988	       100.38472	       22.491885
       6633.0432	   1.4273046e+09	      0.10242678	     0.026159796	       100.43546	       22.368408
       6635.4022	   1.3575018e+09	      0.10057032	     0.026460099	       100.48637	       22.243445
       6637.7611	   1.2915240e+09	     0.098960760	     0.025788627	       100.53314	       22.128652
