#
# Data product developed by Dr. E. Thiemann from the
# Laboratory for Atmospheric and Space Physics, Boulder, Colorado
# in the frame of the PROBA2 guest investigator program.
#
# Please address your questions to E. Thiemann (thiemann@lasp.colorado.edu) and
# to the LYRA Principal Investigator M. Dominique (marie.dominique@oma.be)
#
# PROBA2 data products are open to all.
# Users should however refer to the following paper: http://arxiv.org/abs/1708.08833
# and acknowledge the instrument according to the rules described
# at http://proba2.oma.be/data/termsOfUse in their papers and presentations
#
# Website reference http://proba2.oma.be/lyra/data/EarthAtmosphere/
#
# Description:
# Summed neutral N2 and O number density profiles, spanning altitudes between 150 and 400 km
# retrieved from LYRA data acquired during occultations by the unit 3 (backup unit) zirconium
# channel (bandpass: 1-2 nm + 6-20 nm).
#
# Radial distance is the distance from the center of Earth expressed in km to which the density corresponds.
# Density O-N2 provides the summed number density of neutral O and N2 in units of radial distance and cm^-3.
# The systematic error is a signed value (asymmetric) in fractional units and is primarily from the error made by
# assuming that the absorption cross-sections of O and N2 are equal; a secondary source of systematic error is 
# from using a single-scale height atmosphere in the reference atmosphere used by the retrieval algorithm.
# The random error is an unsigned value (to be applied symmetrically to the measurement) in fractional
# units and gathers the uncertainties from solar spectra, solar variability and measurement noise.
# Both uncertainties are described in http://arxiv.org/abs/1708.08833.
# The Longitude and Latitude (in degrees) columns refer to the tangential point along the
# line-of-sight, where most of the absorption occurs.
#
# Scale height =        52.928245 km
# Date (UTC) = 2015-12-20T10:49:21.537
# Date (julian) = 2457376.95094372
#
# Radial distance	Density O-N2	Systematic error	Random error	Longitude	Latitude
       6489.0697	   5.6126011e+10	     0.022108047	     0.028987199	       94.188367	       28.140294
       6491.3880	   5.1550029e+10	     0.028635488	     0.029686284	       94.243902	       28.031132
       6493.7063	   4.7550630e+10	     0.034875736	     0.030385368	       94.296461	       27.921970
       6496.0246	   4.4147160e+10	     0.040806966	     0.031084453	       94.349020	       27.812808
       6498.3430	   4.1233605e+10	     0.046385993	     0.031783537	       94.404783	       27.700435
       6500.6613	   3.8580064e+10	     0.051625898	     0.032482622	       94.461393	       27.587215
       6502.9796	   3.6302168e+10	     0.056654487	     0.033181707	       94.516715	       27.475285
       6505.2979	   3.4188926e+10	     0.061774081	     0.033880791	       94.569273	       27.366122
       6507.6163	   3.2258905e+10	     0.067376750	     0.034579876	       94.621832	       27.256959
       6509.9346	   3.0386073e+10	     0.073776079	     0.035278961	       94.674393	       27.147796
       6512.2529	   2.8595291e+10	     0.081377805	     0.035978045	       94.726955	       27.038634
       6514.5712	   2.7013041e+10	     0.090641405	     0.036677130	       94.779515	       26.929472
       6516.8896	   2.5533253e+10	      0.10181376	     0.037376215	       94.832074	       26.820310
       6519.2079	   2.4150731e+10	      0.11503731	     0.038075299	       94.884632	       26.711148
       6521.5262	   2.2817034e+10	      0.13026793	     0.038774384	       94.937197	       26.601972
       6523.8445	   2.1519604e+10	      0.14196343	     0.039388431	       94.989763	       26.492795
       6526.1629	   2.0241382e+10	      0.15264944	     0.039838837	       95.042327	       26.381906
       6528.4812	   1.9005953e+10	      0.16390502	     0.041824215	       95.094888	       26.268700
       6530.7995	   1.7783543e+10	      0.17214901	     0.044948009	       95.147450	       26.155495
       6533.1178	   1.6634426e+10	      0.17820151	     0.047569667	       95.200009	       26.046136
       6535.4362	   1.5496408e+10	      0.17904809	     0.048035089	       95.252567	       25.936973
       6537.7545	   1.4391308e+10	      0.17842409	     0.049040935	       95.303194	       25.827811
       6540.0728	   1.3338259e+10	      0.17737317	     0.050888503	       95.351712	       25.718649
       6542.3911	   1.2368340e+10	      0.17447594	     0.051150737	       95.400262	       25.609487
       6544.7095	   1.1510973e+10	      0.17249849	     0.052219881	       95.452814	       25.500310
       6547.0278	   1.0705288e+10	      0.17047868	     0.053297933	       95.505380	       25.391133
       6549.3461	   9.9696662e+09	      0.16825852	     0.054319000	       95.555793	       25.281963
       6551.6644	   9.2845877e+09	      0.16668851	     0.055468980	       95.604311	       25.172801
       6553.9828	   8.6555849e+09	      0.16439263	     0.054841044	       95.653065	       25.063638
       6556.3011	   8.0660371e+09	      0.16233991	     0.053968860	       95.705623	       24.954475
       6558.6194	   7.5154656e+09	      0.16009926	     0.052711487	       95.758182	       24.845313
       6560.9377	   7.0174523e+09	      0.15714914	     0.051428817	       95.808377	       24.738515
       6563.2561	   6.5756647e+09	      0.15459674	     0.049632161	       95.856895	       24.633397
       6565.5744	   6.1682099e+09	      0.15192530	     0.047666172	       95.905413	       24.527825
       6567.8927	   5.7891369e+09	      0.14983981	     0.045862376	       95.953934	       24.418648
       6570.2110	   5.4300339e+09	      0.14787793	     0.044830090	       96.002455	       24.309471
       6572.5294	   5.0889344e+09	      0.14552657	     0.043927004	       96.053556	       24.200303
       6574.8477	   4.7743089e+09	      0.14272854	     0.042447864	       96.106118	       24.091140
       6577.1660	   4.4740671e+09	      0.13950563	     0.039959609	       96.158011	       23.981978
       6579.4843	   4.1983108e+09	      0.13571063	     0.036804237	       96.206526	       23.872815
       6581.8027	   3.9435961e+09	      0.13246548	     0.035353552	       96.255040	       23.763653
       6584.1210	   3.7084103e+09	      0.12954938	     0.034449606	       96.303557	       23.654490
       6586.4393	   3.5003987e+09	      0.12730522	     0.033165617	       96.352075	       23.545327
       6588.7576	   3.3110158e+09	      0.12561087	     0.033126916	       96.400594	       23.436161
       6591.0760	   3.1394968e+09	      0.12324889	     0.029116199	       96.449118	       23.326985
       6593.3943	   2.9791996e+09	      0.12121002	     0.026735657	       96.497642	       23.217809
       6595.7126	   2.8176133e+09	      0.11859185	     0.025697471	       96.543148	       23.111656
       6598.0309	   2.6668611e+09	      0.11665245	     0.025392397	       96.587622	       23.006536
       6600.3493	   2.5284649e+09	      0.11606311	     0.025707884	       96.633195	       22.900317
       6602.6676	   2.3976697e+09	      0.11533798	     0.026946946	       96.681709	       22.791155
       6604.9859	   2.2778522e+09	      0.11448361	     0.026656675	       96.730224	       22.681992
       6607.3042	   2.1602991e+09	      0.11299206	     0.025106253	       96.778741	       22.572830
       6609.6226	   2.0465286e+09	      0.10984403	     0.023890860	       96.827259	       22.463667
       6611.9409	   1.9438036e+09	      0.10717817	     0.024358452	       96.874464	       22.355814
       6614.2592	   1.8502438e+09	      0.10602125	     0.023761910	       96.918943	       22.250681
       6616.5775	   1.7578641e+09	      0.10438904	     0.023372942	       96.963423	       22.145548
       6618.8959	   1.6683000e+09	      0.10349398	     0.024447272	       97.011341	       22.036982
       6621.2142	   1.5845395e+09	      0.10242019	     0.025018456	       97.059855	       21.927820
       6623.5325	   1.5056980e+09	      0.10041815	     0.024689110	       97.106840	       21.820189
       6625.8508	   1.4295699e+09	     0.098831517	     0.026412898	       97.151314	       21.715069
       6628.1692	   1.3568953e+09	     0.096718427	     0.025771773	       97.195788	       21.609950
       6630.4875	   1.2921258e+09	     0.094709360	     0.025929503	       97.243922	       21.501170
       6632.8058	   1.2406892e+09	     0.092735081	     0.026128967	       97.292440	       21.392008
       6635.1241	   1.1933292e+09	     0.090965332	     0.026418402	       97.341616	       21.278907
       6637.4425	   1.1306968e+09	     0.089612542	     0.025944712	       97.391657	       21.160628
       6639.7608	   1.0660991e+09	     0.089510820	     0.025356156	       97.440397	       21.044480
       6642.0791	   1.0040023e+09	     0.090092024	     0.025154933	       97.484871	       20.935317
       6644.3974	   9.5207728e+08	     0.089320924	     0.025386559	       97.529345	       20.826154
       6646.7158	   9.1508775e+08	     0.088339959	     0.026290643	       97.573819	       20.720066
       6649.0341	   8.7735947e+08	     0.087196341	     0.027586717	       97.618293	       20.614948
       6651.3524	   8.4664209e+08	     0.086902048	     0.026754229	       97.663926	       20.508669
       6653.6707	   8.1510505e+08	     0.086360189	     0.027868109	       97.712441	       20.399506
       6655.9890	   7.8022252e+08	     0.084603857	     0.028018893	       97.760956	       20.290344
       6658.3074	   7.4550119e+08	     0.083066480	     0.030606212	       97.810706	       20.173778
       6660.6257	   7.0438329e+08	     0.081640160	     0.032194727	       97.860740	       20.055517
       6662.9440	   6.7079072e+08	     0.080342365	     0.032514619	       97.907358	       19.945330
       6665.2623	   6.3642342e+08	     0.079736156	     0.028117265	       97.951838	       19.840196
       6667.5807	   6.1018376e+08	     0.079090154	     0.027316748	       97.995742	       19.734490
       6669.8990	   5.8546773e+08	     0.078257679	     0.027432371	       98.036172	       19.625328
       6672.2173	   5.6113016e+08	     0.077877834	     0.027005562	       98.076602	       19.516165
       6674.5356	   5.4149149e+08	     0.076535271	     0.029406643	       98.119736	       19.409706
       6676.8540	   5.1816914e+08	     0.074024435	     0.032264103	       98.164210	       19.304587
       6679.1723	   4.9981954e+08	     0.073198526	     0.030125395	       98.209769	       19.196901
       6681.4906	   4.7936839e+08	     0.074045075	     0.030033754	       98.259803	       19.078639
       6683.8089	   4.5784551e+08	     0.074229100	     0.032374097	       98.309814	       18.960433
       6686.1273	   4.3316990e+08	     0.073519296	     0.033835131	       98.354335	       18.855203
